player_id,team_id,player_name,matches_played,starts,sub_on_appearances,sub_off_appearances,avg_sub_on_minute,avg_sub_off_minute,typical_role
126949,52,Chris Richards,3,3,0,0,,,UNK
2601,52,Daichi Kamada,1,1,0,1,,86.0,UNK
13736,52,Daniel Muñoz,3,3,0,0,,,UNK
19088,52,Dean Henderson,3,3,0,0,,,UNK
19586,52,Eberechi Eze,1,1,0,1,,84.0,UNK
2218,52,Ismaïla Sarr,3,3,0,0,,,UNK
25927,52,Jean-Philippe Mateta,3,3,0,2,,86.5,UNK
2490,52,Jefferson Lerma,3,0,3,0,69.33333333333333,,UNK
284449,52,Jesurun Rak-Sakyi,0,0,1,0,,,UNK
286458,52,Justin Devenny,3,1,2,1,84.5,66.0,UNK
301295,52,Kaden Rodney,0,0,2,0,,,UNK
67971,52,Marc Guéhi,3,3,0,0,,,UNK
20995,52,Maxence Lacroix,3,3,0,0,,,UNK
18862,52,Nathaniel Clyne,1,0,3,0,86.0,,UNK
1135,52,Odsonne Édouard,1,0,2,0,88.0,,UNK
19684,52,Remi Matthews,0,0,1,0,,,UNK
380703,52,Rio Cardines,0,0,3,0,,,UNK
402640,52,Romain Esse,1,0,3,0,66.0,,UNK
182201,52,Tyrick Mitchell,3,3,0,0,,,UNK
22157,52,Walter Benítez,0,0,3,0,,,UNK
18806,52,Will Hughes,3,3,0,2,,70.5,UNK
184226,52,Yéremy Pino,1,0,1,0,71.0,,UNK
44871,55,Aaron Hickey,2,0,3,0,83.5,,UNK
319517,55,Antoni Milambo,1,1,2,1,,46.0,UNK
430827,55,Benjamin Arthur,0,0,1,0,,,UNK
281,55,Caoimhin Kelleher,3,3,0,0,,,UNK
284797,55,Dango Ouattara,2,2,0,1,,84.0,UNK
19789,55,Ethan Pinnock,0,0,1,0,,,UNK
153066,55,Fabio Carvalho,2,1,2,0,90.0,,UNK
15799,55,Frank Onyeka,3,0,3,0,69.66666666666667,,UNK
61742,55,Hákon Rafn Valdimarsson,0,0,3,0,,,UNK
196156,55,Igor Thiago,3,3,0,0,,,UNK
292,55,Jordan Henderson,3,2,1,2,69.0,70.0,UNK
106725,55,Keane Lewis-Potter,3,3,0,2,,70.5,UNK
178077,55,Kevin Schade,3,2,1,2,46.0,84.5,UNK
1119,55,Kristoffer Ajer,1,0,3,0,85.0,,UNK
15745,55,Mads Roerslev,0,0,1,0,,,UNK
47438,55,Mathias Jensen,2,1,2,1,79.0,69.0,UNK
342022,55,Michael Kayode,3,3,0,1,,85.0,UNK
15908,55,Mikkel Damsgaard,2,2,0,0,,,UNK
180308,55,Myles Peart-Harris,0,0,2,0,,,UNK
19495,55,Nathan Collins,3,3,0,0,,,UNK
19346,55,Rico Henry,3,1,2,1,78.0,88.0,UNK
36922,55,Sepp van den Berg,3,3,0,0,,,UNK
263538,55,Yehor Yarmolyuk,3,3,0,1,,79.0,UNK
177665,63,Anton Stach,3,3,0,0,,,UNK
32966,63,Ao Tanaka,2,2,0,2,,74.0,UNK
50739,63,Brenden Aaronson,3,0,3,0,64.33333333333333,,UNK
19329,63,Daniel James,3,3,0,3,,68.0,UNK
18766,63,Dominic Calvert-Lewin,1,0,1,0,70.0,,UNK
