fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378971,36,1161,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,746,194536,G,1.0,1.0,GK,goalkeeper,L,deep
1378973,746,119121,D,2.0,4.0,FB,full-back / wing-back,L,high
1378973,746,55904,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378973,746,290545,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378973,746,22225,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378973,746,327631,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378973,746,1464,M,3.0,2.0,DM,defensive midfielder,C,deep
1378973,746,365331,M,3.0,1.0,DM,defensive midfielder,C,deep
1378973,746,336659,F,4.0,3.0,W,wide forward / winger,R,mid
1378973,746,349799,F,4.0,2.0,W,wide forward / winger,R,deep
1378973,746,301771,F,4.0,1.0,W,wide forward / winger,R,deep
1378973,746,19881,G,,,GK,goalkeeper,UNK,UNK
1378973,746,339201,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,746,19910,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,746,20638,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,746,330640,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,746,392270,F,,,W,wide forward / winger,UNK,UNK
1378973,746,6168,D,,,FB,full-back / wing-back,UNK,UNK
1378973,746,47521,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,746,84087,F,,,W,wide forward / winger,UNK,UNK
1378973,48,15870,G,1.0,1.0,GK,goalkeeper,L,deep
1378973,48,138,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378973,48,18744,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378973,48,21694,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378973,48,18846,M,3.0,4.0,CM,central / attacking midfielder,C,high
1378973,48,2938,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378973,48,2476,M,3.0,2.0,DM,defensive midfielder,C,deep
1378973,48,409303,M,3.0,1.0,DM,defensive midfielder,C,deep
1378973,48,1646,F,4.0,1.0,W,wide forward / winger,R,deep
1378973,48,19428,F,5.0,2.0,W,wide forward / winger,R,deep
1378973,48,25391,F,5.0,1.0,W,wide forward / winger,R,deep
1378973,48,253,G,,,GK,goalkeeper,UNK,UNK
1378973,48,171,D,,,FB,full-back / wing-back,UNK,UNK
1378973,48,2869,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,48,2939,F,,,W,wide forward / winger,UNK,UNK
1378973,48,1445,D,,,FB,full-back / wing-back,UNK,UNK
1378973,48,1243,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,48,327730,D,,,FB,full-back / wing-back,UNK,UNK
