fixture_id,team_id,opponent_team_id,player_id,player_name,minutes,position,role,side,band,shots_total,shots_on,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_total,duels_won,tackles,dribbles,subbed_on,subbed_off,sub_on_min,sub_off_min
1378971,36,51,389315,Joshua King,77.0,M,,,,1.0,1.0,,2.0,0,0,9.0,5.0,3.0,1.0,False,False,,
1378971,36,51,1455,Alex Iwobi,66.0,M,,,,1.0,,,1.0,0,0,5.0,2.0,,2.0,False,False,,
1378971,36,51,2887,Raúl Jiménez,66.0,F,,,,2.0,,2.0,,0,0,8.0,,,,False,False,,
1378971,36,51,19025,Tom Cairney,24.0,M,,,,,,1.0,1.0,1,0,7.0,3.0,,2.0,True,False,,
1378971,36,51,18753,Adama Traoré,24.0,F,,,,,,1.0,,0,0,2.0,,,1.0,True,False,,
1378971,36,51,195106,Rodrigo Muniz,24.0,F,,,,1.0,1.0,1.0,,1,0,5.0,,,,True,False,,
1378971,36,51,1161,Emile Smith Rowe,13.0,M,,,,,,,,0,0,2.0,,,1.0,True,False,,
1378971,36,51,2920,Timothy Castagne,14.0,D,,,,,,,,0,0,1.0,,,,True,False,,
1378971,36,51,21566,Benjamin Lecomte,,G,,,,,,,,0,0,,,,,True,False,,
1378971,36,51,18814,Issa Diop,,D,,,,,,,,0,0,,,,,True,False,,
1378971,36,51,19480,Harrison Reed,,M,,,,,,,,0,0,,,,,True,False,,
1378971,36,51,899,Andreas Pereira,,M,,,,,,,,0,0,,,,,True,False,,
1378973,746,48,194536,Robin Roefs,90.0,G,,,,,,,,0,0,2.0,2.0,,,False,False,,
1378973,746,48,119121,Trai Hume,90.0,D,,,,,,1.0,1.0,0,0,13.0,8.0,2.0,1.0,False,False,,
1378973,746,48,55904,Daniel Ballard,90.0,D,,,,4.0,2.0,,4.0,0,0,13.0,10.0,1.0,,False,False,,
1378973,746,48,290545,Jenson Seelt,53.0,D,,,,,,,,0,0,4.0,3.0,2.0,,False,False,,
1378973,746,48,22225,Reinildo Mandava,90.0,D,,,,,,1.0,1.0,0,0,5.0,3.0,2.0,,False,False,,
1378973,746,48,327631,Habib Diarra,90.0,M,,,,2.0,1.0,1.0,,0,0,4.0,1.0,1.0,1.0,False,False,,
1378973,746,48,1464,Granit Xhaka,90.0,M,,,,,,2.0,2.0,0,0,12.0,5.0,1.0,,False,False,,
1378973,746,48,365331,Noah Sadiki,90.0,M,,,,,,1.0,,0,0,5.0,2.0,2.0,1.0,False,False,,
1378973,746,48,336659,Chemsdine Talbi,89.0,F,,,,,,,,0,0,5.0,1.0,1.0,,False,False,,
1378973,746,48,349799,Eliezer Mayenda,76.0,F,,,,1.0,1.0,,2.0,0,0,9.0,3.0,,2.0,False,False,,
1378973,746,48,301771,Simon Adingra,76.0,F,,,,1.0,,2.0,,0,0,9.0,1.0,1.0,2.0,False,False,,
1378973,746,48,6168,Omar Alderete,37.0,D,,,,,,,,0,0,4.0,3.0,1.0,,True,False,,
1378973,746,48,20638,Enzo Le Fée,14.0,M,,,,,,,,0,0,2.0,,,,True,False,,
1378973,746,48,84087,Wilson Isidor,14.0,F,,,,1.0,1.0,,,0,0,1.0,,,,True,False,,
1378973,746,48,339201,Chris Rigg,1.0,M,,,,,,,,0,0,,,,,True,False,,
1378973,746,48,19881,Anthony Patterson,,G,,,,,,,,0,0,,,,,True,False,,
1378973,746,48,19910,Dan Neil,,M,,,,,,,,0,0,,,,,True,False,,
1378973,746,48,47521,Patrick Roberts,,M,,,,,,,,0,0,,,,,True,False,,
1378973,746,48,330640,Harrison Jones,,M,,,,,,,,0,0,,,,,True,False,,
1378973,746,48,392270,Marc Guiu,,F,,,,,,,,0,0,,,,,True,False,,
1378973,48,746,15870,Mads Hermansen,90.0,G,,,,,,,,0,0,1.0,1.0,,,False,False,,
1378973,48,746,138,Jean-Clair Todibo,82.0,D,,,,,,,1.0,0,0,6.0,4.0,3.0,,False,False,,
1378973,48,746,18744,Max Kilman,90.0,D,,,,,,2.0,,1,0,7.0,5.0,3.0,,False,False,,
1378973,48,746,21694,Nayef Aguerd,90.0,D,,,,,,,,0,0,3.0,2.0,,1.0,False,False,,
1378973,48,746,18846,Aaron Wan-Bissaka,90.0,M,,,,,,,1.0,0,0,6.0,5.0,1.0,4.0,False,False,,
1378973,48,746,2938,James Ward-Prowse,71.0,M,,,,,,,,0,0,2.0,2.0,1.0,,False,False,,
1378973,48,746,2476,Guido Rodríguez,71.0,M,,,,,,,,0,0,2.0,1.0,,,False,False,,
1378973,48,746,409303,El Hadji Malick Diouf,90.0,M,,,,2.0,1.0,1.0,1.0,0,0,9.0,5.0,,1.0,False,False,,
1378973,48,746,1646,Lucas Paquetá,90.0,F,,,,,,1.0,2.0,0,0,16.0,8.0,1.0,3.0,False,False,,
1378973,48,746,19428,Jarrod Bowen,90.0,F,,,,1.0,1.0,,2.0,0,0,10.0,7.0,2.0,5.0,False,False,,
1378973,48,746,25391,Niclas Füllkrug,90.0,F,,,,1.0,1.0,5.0,,0,0,19.0,3.0,,,False,False,,
1378973,48,746,1243,Tomáš Souček,19.0,M,,,,1.0,1.0,,,0,0,2.0,1.0,,1.0,True,False,,
1378973,48,746,2939,Callum Wilson,19.0,F,,,,1.0,,1.0,1.0,0,0,4.0,1.0,,,True,False,,
1378973,48,746,68466,Andy Irving,8.0,M,,,,,,,,0,0,1.0,1.0,1.0,,True,False,,
1378973,48,746,253,Alphonse Aréola,,G,,,,,,,,0,0,,,,,True,False,,
1378973,48,746,171,Kyle Walker-Peters,,D,,,,,,,,0,0,,,,,True,False,,
1378973,48,746,1445,Konstantinos Mavropanos,,D,,,,,,,,0,0,,,,,True,False,,
1378973,48,746,327730,Oliver Scarles,,D,,,,,,,,0,0,,,,,True,False,,
1378973,48,746,284446,Freddie Potts,,M,,,,,,,,0,0,,,,,True,False,,
1378973,48,746,2869,Edson Álvarez,,M,,,,,,,,0,0,,,,,True,False,,
1378975,39,50,1590,José Sá,90.0,G,,,,,,,,0,0,,,,,False,False,,
1378975,39,50,18742,Matt Doherty,90.0,D,,,,,,3.0,1.0,1,0,7.0,4.0,3.0,,False,False,,
1378975,39,50,135068,Emmanuel Agbadou,90.0,D,,,,1.0,,,,0,0,6.0,2.0,2.0,,False,False,,
1378975,39,50,41606,Toti Gomes,90.0,D,,,,,,,1.0,0,0,7.0,4.0,2.0,1.0,False,False,,
1378975,39,50,285,Ki-Jana Hoever,73.0,M,,,,,,,,0,0,7.0,2.0,2.0,1.0,False,False,,
1378975,39,50,265784,André,72.0,M,,,,,,1.0,1.0,0,0,11.0,5.0,4.0,,False,False,,
1378975,39,50,195103,João Gomes,90.0,M,,,,,,3.0,1.0,0,0,16.0,7.0,4.0,1.0,False,False,,
1378975,39,50,265782,David Möller Wolfe,72.0,M,,,,,,,,0,0,3.0,2.0,1.0,,False,False,,
1378975,39,50,3080,Marshall Munetsi,90.0,F,,,,,,,,0,0,10.0,5.0,2.0,2.0,False,False,,
1378975,39,50,2032,Jørgen Strand Larsen,82.0,F,,,,3.0,2.0,3.0,1.0,0,0,9.0,4.0,1.0,,False,False,,
